storeid,year,month,week,day,sales
125805,2016,1,1,20160131,9345.54
125805,2016,1,1,20160201,6206.19
125805,2016,1,1,20160202,5070.71
125805,2016,1,1,20160203,8575.76
125805,2016,1,1,20160204,7853.11
125805,2016,1,1,20160205,16046.09
125805,2016,1,1,20160206,29269.64
125805,2016,1,2,20160207,10578.54
125805,2016,1,2,20160208,8879.81
125805,2016,1,2,20160209,7713.19
125805,2016,1,2,20160210,12933.97
125805,2016,1,2,20160211,12730.67
125805,2016,1,2,20160212,18821.7
125805,2016,1,2,20160213,34741.5
125805,2016,1,3,20160214,20914.8
125805,2016,1,3,20160215,14299.47
125805,2016,1,3,20160216,7295.66
125805,2016,1,3,20160217,8297.37
125805,2016,1,3,20160218,11998.32
125805,2016,1,3,20160219,19798.31
125805,2016,1,3,20160220,34961.31
125805,2016,1,4,20160221,20519.91
125805,2016,1,4,20160222,8928.17
125805,2016,1,4,20160223,8751.81
125805,2016,1,4,20160224,9523.32
125805,2016,1,4,20160225,12149.62
125805,2016,1,4,20160226,16731.79
125805,2016,1,4,20160227,33629.3
125805,2016,2,5,20160228,18964.98
125805,2016,2,5,20160229,7268.7
125805,2016,2,5,20160301,9853.73
125805,2016,2,5,20160302,8405.4
125805,2016,2,5,20160303,8727.81
125805,2016,2,5,20160304,16069.85
125805,2016,2,5,20160305,28068.81
125805,2016,2,6,20160306,17964.68
125805,2016,2,6,20160307,6841.37
125805,2016,2,6,20160308,7395.81
125805,2016,2,6,20160309,10762.49
125805,2016,2,6,20160310,10532.47
125805,2016,2,6,20160311,16827.81
125805,2016,2,6,20160312,29083.14
125805,2016,2,7,20160313,17824.66
125805,2016,2,7,20160314,9375.77
125805,2016,2,7,20160315,9323.52
125805,2016,2,7,20160316,9987.14
125805,2016,2,7,20160317,10441.51
125805,2016,2,7,20160318,19406.55
125805,2016,2,7,20160319,27933.38
125805,2016,2,8,20160320,18299.86
125805,2016,2,8,20160321,13184.09
125805,2016,2,8,20160322,11813.33
125805,2016,2,8,20160323,14412.84
125805,2016,2,8,20160324,16516.82
125805,2016,2,8,20160325,24104.23
125805,2016,2,8,20160326,31725.61
125805,2016,3,9,20160327,10809.84
125805,2016,3,9,20160328,8018.49
125805,2016,3,9,20160329,12463.72
125805,2016,3,9,20160330,12624.9
125805,2016,3,9,20160331,12713.1
125805,2016,3,9,20160401,19011.81
125805,2016,3,9,20160402,26439.76
125805,2016,3,10,20160403,17978.91
125805,2016,3,10,20160404,8965.12
125805,2016,3,10,20160405,10497.33
125805,2016,3,10,20160406,7872.66
125805,2016,3,10,20160407,9561.87
125805,2016,3,10,20160408,16309.15
125805,2016,3,10,20160409,27906.21
125805,2016,3,11,20160410,16853.21
125805,2016,3,11,20160411,9391.36
125805,2016,3,11,20160412,10585.67
125805,2016,3,11,20160413,9248.64
125805,2016,3,11,20160414,10734.42
125805,2016,3,11,20160415,17707.53
125805,2016,3,11,20160416,30298.12
125805,2016,3,12,20160417,17331.11
125805,2016,3,12,20160418,8457.38
125805,2016,3,12,20160419,8373.97
125805,2016,3,12,20160420,9516.51
125805,2016,3,12,20160421,12697.65
125805,2016,3,12,20160422,14796.17
125805,2016,3,12,20160423,27901.35
125805,2016,3,13,20160424,15868.14
125805,2016,3,13,20160425,8568.12
125805,2016,3,13,20160426,5600.98
125805,2016,3,13,20160427,7213.37
125805,2016,3,13,20160428,9852.71
125805,2016,3,13,20160429,13477.44
125805,2016,3,13,20160430,29994.83
125805,2016,4,14,20160501,15955.66
125805,2016,4,14,20160502,7884.56
125805,2016,4,14,20160503,8126.55
125805,2016,4,14,20160504,8437.94
125805,2016,4,14,20160505,10131.04
125805,2016,4,14,20160506,14463.85
125805,2016,4,14,20160507,23658.97
125805,2016,4,15,20160508,12234.01
125805,2016,4,15,20160509,7151.35
125805,2016,4,15,20160510,7687.12
125805,2016,4,15,20160511,8746.81
125805,2016,4,15,20160512,10179.45
125805,2016,4,15,20160513,16879.54
125805,2016,4,15,20160514,25173.09
125805,2016,4,16,20160515,15661.77
125805,2016,4,16,20160516,7634.66
125805,2016,4,16,20160517,7898.49
125805,2016,4,16,20160518,8923.98
125805,2016,4,16,20160519,10255.38
125805,2016,4,16,20160520,16569.79
125805,2016,4,16,20160521,27364.42
125805,2016,4,17,20160522,17324.47
125805,2016,4,17,20160523,6625.28
125805,2016,4,17,20160524,7924.93
125805,2016,4,17,20160525,10679.18
125805,2016,4,17,20160526,11495.26
125805,2016,4,17,20160527,15294.82
125805,2016,4,17,20160528,24516.33
125805,2016,5,18,20160529,17916.28
125805,2016,5,18,20160530,12643.84
125805,2016,5,18,20160531,8507.82
125805,2016,5,18,20160601,10972.76
125805,2016,5,18,20160602,11374.86
125805,2016,5,18,20160603,17037.95
125805,2016,5,18,20160604,23634.17
125805,2016,5,19,20160605,17735.72
125805,2016,5,19,20160606,9719.39
125805,2016,5,19,20160607,12689.59
125805,2016,5,19,20160608,10867.34
125805,2016,5,19,20160609,13751.72
125805,2016,5,19,20160610,20086.31
125805,2016,5,19,20160611,25323.24
125805,2016,5,20,20160612,14927.94
125805,2016,5,20,20160613,11009.43
125805,2016,5,20,20160614,11519.78
125805,2016,5,20,20160615,11113.52
125805,2016,5,20,20160616,14782.78
125805,2016,5,20,20160617,18135.06
125805,2016,5,20,20160618,22043.53
125805,2016,5,21,20160619,12653.28
125805,2016,5,21,20160620,9215.59
125805,2016,5,21,20160621,10368.82
125805,2016,5,21,20160622,12862.88
125805,2016,5,21,20160623,15823.9
125805,2016,5,21,20160624,18506
125805,2016,5,21,20160625,24954.82
125805,2016,6,22,20160626,12974.71
125805,2016,6,22,20160627,10952.12
125805,2016,6,22,20160628,11341.35
125805,2016,6,22,20160629,12314.35
125805,2016,6,22,20160630,14130.97
125805,2016,6,22,20160701,20245.93
125805,2016,6,22,20160702,25245.78
125805,2016,6,23,20160703,15236
125805,2016,6,23,20160704,10048.79
125805,2016,6,23,20160705,9891.8
125805,2016,6,23,20160706,11444.35
125805,2016,6,23,20160707,14521.04
125805,2016,6,23,20160708,19669.75
125805,2016,6,23,20160709,23812.2
